name,rating,review_count,address,city,zip_code,phone,website,coordinates,categories,price,dogs_allowed,good_for_kids
Eureka!,4.1,1204,"12101 S Crenshaw Blvd, Hawthorne, CA 90250",Hawthorne,90250,+13103318233,https://www.yelp.com/biz/eureka-hawthorne-4?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.92227301447286, 'longitude': -118.3272922039032}",['American'],$$,Unknown,Unknown
Good Clean Fun,4.7,188,"868 S Olive St, Los Angeles, CA 90015",Los Angeles,90015,+12134930098,https://www.yelp.com/biz/good-clean-fun-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0438777, 'longitude': -118.2578333}","['Wine Bars', 'Beer, Wine & Spirits', 'Italian']",$$,Unknown,Unknown
Hermanito,4.4,772,"2024 Sawtelle Blvd, Los Angeles, CA 90025",Los Angeles,90025,+14243882585,https://www.yelp.com/biz/hermanito-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.04042, 'longitude': -118.44297}","['Mexican', 'Cocktail Bars', 'Whiskey Bars']",$$$,Unknown,Unknown
Prank,4.1,1068,"1100 S Hope St, Los Angeles, CA 90015",Los Angeles,90015,+13107309757,https://www.yelp.com/biz/prank-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.042005, 'longitude': -118.263016}","['Cocktail Bars', 'American', 'Breakfast & Brunch']",$$,Unknown,Unknown
Arth Bar & Kitchen,4.3,364,"9531 Culver Blvd, Culver City, CA 90232",Culver City,90232,+14246034155,https://www.yelp.com/biz/arth-bar-and-kitchen-culver-city?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.023220025762654, 'longitude': -118.3953562079707}","['Asian Fusion', 'Indian', 'Cocktail Bars']",$$,Unknown,Unknown
Madre Oaxacan Restaurant and Mezcaleria,4.0,1354,"10426 National Blvd, Los Angeles, CA 90034",Los Angeles,90034,+13105594732,https://www.yelp.com/biz/madre-oaxacan-restaurant-and-mezcaleria-los-angeles-6?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.028711, 'longitude': -118.411288}","['Mexican', 'Cocktail Bars', 'Breakfast & Brunch']",$$,Unknown,Unknown
Madre,3.8,1790,"1261 Cabrillo Ave, Ste 100, Torrance, CA 90501",Torrance,90501,+13109748005,https://www.yelp.com/biz/madre-torrance?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.8353545, 'longitude': -118.3146145}","['Mexican', 'Cocktail Bars', 'Breakfast & Brunch']",$$,Unknown,Unknown
Flora Rooftop Bar,3.8,194,"2130 E Maple Ave, El Segundo, CA 90245",El Segundo,90245,+13103223333,https://www.yelp.com/biz/flora-rooftop-bar-el-segundo?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.926571, 'longitude': -118.386622}","['Lounges', 'Cocktail Bars']",$$,Unknown,Unknown
Beach & Brew,3.9,159,"405 Washington Blvd, Venice, CA 90292",Venice,90292,+13108819172,https://www.yelp.com/biz/beach-and-brew-venice?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.98127, 'longitude': -118.46345}","['Bars', 'New American', 'Beer, Wine & Spirits']",N/A,Unknown,Unknown
Roberta's,3.7,899,"8810 Washington Blvd, Culver City, CA 90232",Culver City,90232,+17184171118,https://www.yelp.com/biz/robertas-culver-city?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.027485, 'longitude': -118.387197}",['Pizza'],$$$,Unknown,Unknown
Joliet Restaurant and Bar,4.2,140,"12751 Millennium Dr, 5 -165, Playa Vista, CA 90094",Playa Vista,90094,+12132862675,https://www.yelp.com/biz/joliet-restaurant-and-bar-playa-vista?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.97650109740625, 'longitude': -118.41587871785414}","['Cafes', 'Breakfast & Brunch', 'Cocktail Bars']",$$,Unknown,Unknown
Huddy's,4.0,1192,"514 N Pacific Coast Hwy, Redondo Beach, CA 90277",Redondo Beach,90277,+13233104005,https://www.yelp.com/biz/huddys-redondo-beach-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.85032, 'longitude': -118.38864}","['Gastropubs', 'New American', 'Cocktail Bars']",$$,Unknown,Unknown
JOEY DTLA,4.3,3668,"700 West 7th St, Ste S430, Los Angeles, CA 90017",Los Angeles,90017,+12133725335,https://www.yelp.com/biz/joey-dtla-los-angeles-4?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0480211941309, 'longitude': -118.25805115693}","['Sushi Bars', 'Steakhouses', 'Wine Bars']",N/A,Unknown,Unknown
Broken Spirits Distillery,4.7,744,"300 The Promenade N, Long Beach, CA 90802",Long Beach,90802,+15625909000,https://www.yelp.com/biz/broken-spirits-distillery-long-beach?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.77078, 'longitude': -118.19033}","['Distilleries', 'Barbeque', 'Burgers']",$$,Unknown,Unknown
The Misfit Restaurant + Bar,4.2,4650,"225 Santa Monica Blvd, Santa Monica, CA 90401",Santa Monica,90401,+13106569800,https://www.yelp.com/biz/the-misfit-restaurant-bar-santa-monica?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.015401, 'longitude': -118.496658}","['Bars', 'New American', 'Breakfast & Brunch']",$$,Unknown,Unknown
Martin's Cocina y Cantina,4.2,907,"162 N La Brea Ave, Inglewood, CA 90301",Inglewood,90301,+13107744053,https://www.yelp.com/biz/martins-cocina-y-cantina-inglewood?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.9641457142836, 'longitude': -118.3531207421088}",['Mexican'],$$,Unknown,Unknown
Zinqué,3.7,444,"10250 Santa Monica Blvd, Ste 2790, Los Angeles, CA 90067",Los Angeles,90067,+14242049403,https://www.yelp.com/biz/zinqu%C3%A9-los-angeles-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.058763, 'longitude': -118.419009}","['French', 'Cocktail Bars', 'Breakfast & Brunch']",$$,Unknown,Unknown
Alley Lounge,4.1,359,"12223 West Washington Blvd, Culver City, CA 90066",Culver City,90066,+13105968257,https://www.yelp.com/biz/alley-lounge-culver-city-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.9975, 'longitude': -118.4263}","['Cocktail Bars', 'Lounges', 'Tacos']",$$,Unknown,Unknown
1212 Santa Monica,4.5,4196,"1212 3rd St Promenade, Santa Monica, CA 90401",Santa Monica,90401,+13105769996,https://www.yelp.com/biz/1212-santa-monica-santa-monica-5?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0178817810279, 'longitude': -118.499016734953}","['Cocktail Bars', 'New American', 'Venues & Event Spaces']",$$,Unknown,Unknown
Caravan Swim Club,4.3,134,"8639 Lincoln Blvd Hotel June, Hotel June, Los Angeles, CA 90045",Los Angeles,90045,+13104916646,https://www.yelp.com/biz/caravan-swim-club-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.958652, 'longitude': -118.418774}","['Cocktail Bars', 'Breakfast & Brunch', 'Mexican']",$$,Unknown,Unknown
Le Grand,4.0,1917,"707 S Grand Ave, Los Angeles, CA 90017",Los Angeles,90017,+12132107777,https://www.yelp.com/biz/le-grand-los-angeles-6?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.047134, 'longitude': -118.257089}","['New American', 'Breakfast & Brunch', 'American']",$$,Unknown,Unknown
Sauced BBQ & Spirits - El Segundo,4.0,687,"2015 Park Pl, El Segundo, CA 90245",El Segundo,90245,+13104268783,https://www.yelp.com/biz/sauced-bbq-and-spirits-el-segundo-el-segundo?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.904805, 'longitude': -118.392789}","['Barbeque', 'Southern', 'Axe Throwing']",$$,Unknown,Unknown
The Hula Hula Room,4.5,124,"20930 Hawthorne Blvd, Torrance, CA 90503",Torrance,90503,+14245384757,https://www.yelp.com/biz/the-hula-hula-room-torrance?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.83955870882627, 'longitude': -118.3530205}","['Tiki Bars', 'Cocktail Bars', 'Club Crawl']",$$,Unknown,Unknown
Meet in Paris,3.8,2231,"9727 Culver Blvd, Culver City, CA 90232",Culver City,90232,+13108158222,https://www.yelp.com/biz/meet-in-paris-culver-city?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.02206238081718, 'longitude': -118.39643665506902}","['French', 'Breakfast & Brunch', 'Cocktail Bars']",$$,Unknown,Unknown
Teleferic Barcelona,4.0,372,"11930 San Vicente Blvd, Los Angeles, CA 90049",Los Angeles,90049,+14248327595,https://www.yelp.com/biz/teleferic-barcelona-los-angeles-11?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.05229, 'longitude': -118.4712}","['Cocktail Bars', 'Spanish']",N/A,Unknown,Unknown
Tangaroa Fish Market,4.1,804,"12604 W Washington Blvd, Los Angeles, CA 90066",Los Angeles,90066,+14242898144,https://www.yelp.com/biz/tangaroa-fish-market-los-angeles?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.996604, 'longitude': -118.432363}","['Seafood Markets', 'Seafood', 'Fish & Chips']",$$,Unknown,Unknown
The Front Yard,4.0,3857,"4222 Vineland Ave, North Hollywood, CA 91602",North Hollywood,91602,+18182557290,https://www.yelp.com/biz/the-front-yard-north-hollywood-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.145172, 'longitude': -118.369529}","['Breakfast & Brunch', 'Beer, Wine & Spirits', 'American']",$$,Unknown,Unknown
Mercado Manhattan Beach,4.2,448,"3212A N Sepulveda Blvd, Manhattan Beach, CA 90266",Manhattan Beach,90266,+13105450388,https://www.yelp.com/biz/mercado-manhattan-beach-manhattan-beach-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.899231277212785, 'longitude': -118.39405657279214}","['Mexican', 'Cocktail Bars']",$$,Unknown,Unknown
Cafe Habana,3.1,1177,"3939 Cross Creek Rd, Malibu, CA 90265",Malibu,90265,+13103170300,https://www.yelp.com/biz/cafe-habana-malibu-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0346089792598, 'longitude': -118.685714748435}","['Cuban', 'Mexican', 'Breakfast & Brunch']",$$,Unknown,Unknown
Lobster & Beer,4.2,1415,"3456 Motor Ave, Ste 101, Los Angeles, CA 90034",Los Angeles,90034,+14242988106,https://www.yelp.com/biz/lobster-and-beer-los-angeles-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.026873716673464, 'longitude': -118.40866954358448}","['Seafood', 'Beer Bar']",$$,Unknown,Unknown
Propaganda Wine Bar,4.7,214,"950 E 3rd St, Los Angeles, CA 90013",Los Angeles,90013,+12139473200,https://www.yelp.com/biz/propaganda-wine-bar-los-angeles-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.04580780000001, 'longitude': -118.23407108220891}","['Wine Bars', 'Italian', 'Pizza']",$$,Unknown,Unknown
LouLou Santa Monica,4.0,895,"395 Santa Monica Pl, Ste 300, SANTA MONICA, CA 90401",SANTA MONICA,90401,+13234102337,https://www.yelp.com/biz/loulou-santa-monica-santa-monica?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0133391247957, 'longitude': -118.49463787303488}","['French', 'Lounges', 'Breakfast & Brunch']",N/A,Unknown,Unknown
Laurel Tavern,3.8,1631,"11938 Ventura Blvd, Studio City, CA 91604",Studio City,91604,+18185060777,https://www.yelp.com/biz/laurel-tavern-studio-city-3?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.14295, 'longitude': -118.3921}","['New American', 'Gastropubs', 'Burgers']",$$,Unknown,Unknown
Ospi Venice,4.3,1215,"2025 Pacific Ave, Venice, CA 90291",Venice,90291,+14244435007,https://www.yelp.com/biz/ospi-venice-venice-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.98512, 'longitude': -118.47027}","['Italian', 'Pizza', 'Cocktail Bars']",$$$,Unknown,Unknown
Little Sister,3.9,553,"830 S Pacific Coast Hwy, Ste 100, El Segundo, CA 90245",El Segundo,90245,+14248359878,https://www.yelp.com/biz/little-sister-el-segundo?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.9032573, 'longitude': -118.3951304}",['Vietnamese'],$$,Unknown,Unknown
Tempo Cantina - Downey,3.9,3306,"12056 Paramount Blvd, Downey, CA 90242",Downey,90242,+15623219600,https://www.yelp.com/biz/tempo-cantina-downey-downey-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.93199, 'longitude': -118.1454}","['Mexican', 'Bars', 'Desserts']",$$,Unknown,Unknown
The Surfing Fox,4.4,215,"120 Colorado Ave, Santa Monica, CA 90401",Santa Monica,90401,+14242141830,https://www.yelp.com/biz/the-surfing-fox-santa-monica?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.011814, 'longitude': -118.494093}",['New American'],N/A,Unknown,Unknown
The Cloverfield,4.0,383,"3300 Airport Ave, Santa Monica, CA 90405",Santa Monica,90405,+14245002075,https://www.yelp.com/biz/the-cloverfield-santa-monica-2?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.01574, 'longitude': -118.446036}",['New American'],$$,Unknown,Unknown
SoCal Vibes,4.3,288,"17812 S Main St, Carson, CA 90248",Carson,90248,+14242923153,https://www.yelp.com/biz/socal-vibes-carson-10?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 33.8688770655701, 'longitude': -118.27505047061936}","['Breweries', 'New American', 'Venues & Event Spaces']",$$,Unknown,Unknown
Clandestino Gastro-Bar,4.5,1557,"353 E Foothill Boulevard, Azusa, CA 91702",Azusa,91702,+16266464164,https://www.yelp.com/biz/clandestino-gastro-bar-azusa?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.1337394, 'longitude': -117.9039535}","['Latin American', 'Breakfast & Brunch', 'Cocktail Bars']",$$,Unknown,Unknown
The Henry,4.2,1186,"120 N Robertson Blvd, Los Angeles, CA 90048",Los Angeles,90048,+14242041595,https://www.yelp.com/biz/the-henry-los-angeles-4?adjust_creative=kHkLhH790XbykkItR8AW0g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kHkLhH790XbykkItR8AW0g,"{'latitude': 34.0761, 'longitude': -118.383}","['New American', 'Breakfast & Brunch', 'Cocktail Bars']",$$$,Unknown,Unknown
