name,website,emails,price,zip_code,city,rating,address,review_count,dogs_allowed,phone,categories,good_for_kids
Santeria,https://santeria-sf.com,"hello@santeria-sf.com [INFERRED], reservations@santeria-sf.com [INFERRED], support@santeria-sf.com [INFERRED], contact@santeria-sf.com [INFERRED], info@santeria-sf.com [INFERRED]",$$,94114,San Francisco,4.4,"2251 Market St, San Francisco, CA 94114",369,Unknown,+14158964496,"Mexican, Cocktail Bars",Unknown
Bodega,http://www.bodegasf.com,events@bodegasf.com,$$,94133,San Francisco,4.4,"700 Columbus Ave, San Francisco, CA 94133",334,Unknown,+14156347002,"Wine Bars, Beer Bar, New American",Unknown
O'Brien's Irish Pub,http://obriensirishpubsf.com,"support@obriensirishpubsf.com [INFERRED], reservations@obriensirishpubsf.com [INFERRED], hello@obriensirishpubsf.com [INFERRED], contact@obriensirishpubsf.com [INFERRED], info@obriensirishpubsf.com [INFERRED]",$$,94116,San Francisco,4.4,"1940 Taraval St, San Francisco, CA 94116",87,Unknown,+14154636712,"Irish Pub, Sports Bars, Breakfast & Brunch",Unknown
Scopo Divino,http://www.scopodivino.com,"support@scopodivino.com [INFERRED], info@scopodivino.com [INFERRED], contact@scopodivino.com [INFERRED], hello@scopodivino.com [INFERRED], reservations@scopodivino.com [INFERRED]",$$,94115,San Francisco,4.3,"2800 California St, Ste 101, San Francisco, CA 94115",414,Unknown,+14159283728,"Wine Bars, New American, Breakfast & Brunch",Unknown
Mothership,http://www.mothershipbar.com,"events@mothershipbar.com, info@mothershipbar.com",$$,94110,San Francisco,4.3,"3152 Mission St, San Francisco, CA 94110",57,Unknown,,Bars,Unknown
Popi's Oysterette,https://www.popisoysterette.com,"hello@popisoysterette.com [INFERRED], support@popisoysterette.com [INFERRED], reservations@popisoysterette.com [INFERRED], contact@popisoysterette.com [INFERRED], info@popisoysterette.com [INFERRED]",$$$,94123,San Francisco,4.3,"2095 Chestnut St, San Francisco, CA 94123",152,Unknown,,"Seafood, Live/Raw Food, Wine Bars",Unknown
Town Tavern,http://www.towntavernalameda.com,info@towntavernalameda.com,$$,94501,Alameda,4.3,"1437 Park St, Alameda, CA 94501",181,Unknown,+15105231041,Bars,Unknown
Shotwell's,http://www.shotwellsbar.com,"info@shotwellsbar.com [INFERRED], reservations@shotwellsbar.com [INFERRED], support@shotwellsbar.com [INFERRED], contact@shotwellsbar.com [INFERRED], hello@shotwellsbar.com [INFERRED]",$,94110,San Francisco,4.3,"3349 20th St, San Francisco, CA 94110",256,Unknown,+14156484104,Pubs,Unknown
Terrene,https://www.1hotels.com/san-francisco/taste/terrene,"info@1hotels.com [INFERRED], contact@1hotels.com [INFERRED], hello@1hotels.com [INFERRED], reservations@1hotels.com [INFERRED], support@1hotels.com [INFERRED]",$$,94105,San Francisco,4.3,"8 Mission St, San Francisco, CA 94105",125,Unknown,+14152783700,"Cocktail Bars, Breakfast & Brunch, American",Unknown
Bar Kabuki,https://www.jdvhotels.com/hotels/california/san-francisco/hotel-kabuki/dining/the-bar,"info@jdvhotels.com [INFERRED], support@jdvhotels.com [INFERRED], contact@jdvhotels.com [INFERRED], hello@jdvhotels.com [INFERRED], reservations@jdvhotels.com [INFERRED]",$$,94115,San Francisco,4.3,"1625 Post St, San Francisco, CA 94115",38,Unknown,+14159223100,"Lounges, Cocktail Bars",Unknown
Lost and Found,http://www.lostandfoundbarsf.com,lostandfoundbarsf@gmail.com,$$,94116,San Francisco,4.3,"1439 Taraval St, San Francisco, CA 94116",268,Unknown,+14156623636,"Cocktail Bars, Venues & Event Spaces",Unknown
Macondray,http://www.macondraysf.com,"info@macondraysf.com, aaron@macondraysf.com",$$,94109,San Francisco,4.2,"2209 Polk St, San Francisco, CA 94109",204,Unknown,+14158293464,"Cocktail Bars, American",Unknown
The Barbary,https://thebarbaryoakland.com,"support@thebarbaryoakland.com [INFERRED], reservations@thebarbaryoakland.com [INFERRED], hello@thebarbaryoakland.com [INFERRED], contact@thebarbaryoakland.com [INFERRED], info@thebarbaryoakland.com [INFERRED]",$$,94610,Oakland,4.2,"3332 Grand Ave, Oakland, CA 94610",37,Unknown,+15109229919,Bars,Unknown
Amélie,http://www.sfamelie.com,ameliewinebar@hotmail.com,$$,94109,San Francisco,4.2,"1754 Polk St, San Francisco, CA 94109",1506,Unknown,+14152926916,"Wine Bars, Lounges, French",Unknown
San Francisco Wine & Cheese,https://www.sfwineandcheese.com,"support@sfwineandcheese.com [INFERRED], hello@sfwineandcheese.com [INFERRED], reservations@sfwineandcheese.com [INFERRED], info@sfwineandcheese.com [INFERRED], contact@sfwineandcheese.com [INFERRED]",$$,94102,San Francisco,4.9,"141 Gough St, San Francisco, CA 94102",214,Unknown,+15108164508,"Cheese Shops, Wine Bars, Sandwiches",Unknown
Brew @ 382,,,$$,94080,South San Francisco,4.8,"386 Grand Ave, South San Francisco, CA 94080",66,Unknown,+16509898096,Bars,Unknown
North Beach Cantina,http://northbeachcantina.com,"info@northbeachcantina.com, 415-529-1557info@northbeachcantina.com",$$,94133,San Francisco,4.6,"1548 Stockton St, San Francisco, CA 94133",128,Unknown,+14155291557,"Tacos, Bars, Breakfast & Brunch",Unknown
Liquid Gold,http://www.liquidgoldsf.com,liquidgoldsf@gmail.com,$$,94109,San Francisco,4.5,"1040 Hyde St, San Francisco, CA 94109",204,Unknown,+14156605142,"Beer Bar, Sports Bars, Beer, Wine & Spirits",Unknown
Shovels Bar & Grill,http://www.shovelsbar.com,"support@shovelsbar.com [INFERRED], contact@shovelsbar.com [INFERRED], info@shovelsbar.com [INFERRED], hello@shovelsbar.com [INFERRED], reservations@shovelsbar.com [INFERRED]",$$,94102,San Francisco,4.5,"460 Larkin St, San Francisco, CA 94102",89,Unknown,+14158298979,"Burgers, Beer Bar, Cocktail Bars",Unknown
Popoca Oakland,http://www.popocaoakland.com,"anthony@popocaoakland.com, info@popocaoakland.comphone, info@popocaoakland.com",$$$,94607,Oakland,4.5,"906 Washington St, Oakland, CA 94607",143,Unknown,+15104571724,"Salvadoran, Bars",Unknown
El Rey Taquiza Artesanal,https://www.elreytaquiza.com,"info@elreytaquiza.com [INFERRED], reservations@elreytaquiza.com [INFERRED], contact@elreytaquiza.com [INFERRED], hello@elreytaquiza.com [INFERRED], support@elreytaquiza.com [INFERRED]",$$,94110,San Francisco,4.5,"2491 Mission St, San Francisco, CA 94110",122,Unknown,+14157962139,"Tacos, Beer Bar, Gastropubs",Unknown
Barebottle Brewing Company,http://www.barebottle.com,"events@barebottle.com, sales@barebottle.com, info@barebottle.com",$$,94110,San Francisco,4.4,"1525 Cortland Ave, San Francisco, CA 94110",613,Unknown,+14159268617,"Breweries, Venues & Event Spaces",Unknown
North Light,http://www.northlight.bar,"contact@northlight.bar [INFERRED], reservations@northlight.bar [INFERRED], support@northlight.bar [INFERRED], hello@northlight.bar [INFERRED], info@northlight.bar [INFERRED]",$$,94609,Oakland,4.4,"4915 Telegraph Ave, Oakland, CA 94609",272,Unknown,+15108911113,"Cocktail Bars, New American",Unknown
Belle Cora,http://thebellecora.com,"872-5451thebellecora@gmail.com, thebellecora@gmail.com",$$,94133,San Francisco,4.4,"565 Green St, San Francisco, CA 94133",141,Unknown,+14158725451,"Wine Bars, New American, Music Venues",Unknown
The Rumpus Room,http://www.therumpusroomsf.com,"support@therumpusroomsf.com [INFERRED], reservations@therumpusroomsf.com [INFERRED], contact@therumpusroomsf.com [INFERRED], hello@therumpusroomsf.com [INFERRED], info@therumpusroomsf.com [INFERRED]",$,94103,San Francisco,4.3,"10 Sixth St, San Francisco, CA 94103",75,Unknown,+14157805651,Dive Bars,Unknown
Canela Bistro Bar,http://www.canelasf.com/,"support@canelasf.com [INFERRED], reservations@canelasf.com [INFERRED], hello@canelasf.com [INFERRED], info@canelasf.com [INFERRED], contact@canelasf.com [INFERRED]",$$$,94114,San Francisco,4.3,"2272 Market St, San Francisco, CA 94114",831,Unknown,+14155523000,"Spanish, Tapas Bars, Wine Bars",Unknown
ELIA,http://eliarestaurants.com,"eliasancarlos@gmail.com, eliawalnutcreek@gmail.com, info@eliasancarlos.com, eliapleasanton@yahoo.com",$$$,94596,Walnut Creek,4.3,"1520 Locust St, Walnut Creek, CA 94596",488,Unknown,+19253228671,"Greek, Cocktail Bars",Unknown
El Patio,https://elpatio510.com,"contact@elpatio510.com [INFERRED], info@elpatio510.com [INFERRED], support@elpatio510.com [INFERRED], reservations@elpatio510.com [INFERRED], hello@elpatio510.com [INFERRED]",$$,94702,Berkeley,4.3,"2056 San Pablo Ave, Berkeley, CA 94702",336,Unknown,+15105482222,"Bars, Mexican, Venezuelan",Unknown
Mr. Digby’s,http://www.mrdigbys.com,"reservations@mrdigbys.com [INFERRED], support@mrdigbys.com [INFERRED], contact@mrdigbys.com [INFERRED], info@mrdigbys.com [INFERRED], hello@mrdigbys.com [INFERRED]",$$,94114,San Francisco,4.2,"1199 Church St, San Francisco, CA 94114",189,Unknown,+14158964973,"Cocktail Bars, Comfort Food, Breakfast & Brunch",Unknown
Rise Woodfire Pizza & Rotisserie ,http://www.risewoodfire.com,"events.sanmateo@risewoodfire.com, info.santaclara@risewoodfire.com, 882-3949info.santaclara@risewoodfire.com, 389-6918info.sanmateo@risewoodfire.com, info.sanmateo@risewoodfire.com, events.santaclara@risewoodfire.com, events@risewoodfire.com",$$,94401,San Mateo,4.2,"2 N B St, San Mateo, CA 94401",642,Unknown,+16503896918,"Pizza, Bars, New American",Unknown
The Well,http://www.thewell-oakland.com,jj@mlel.,$$,94610,Oakland,4.2,"3407 Lakeshore Ave, Oakland, CA 94610",1055,Unknown,+15102510329,"Bars, Mediterranean, Spanish",Unknown
Emperor Norton's BoozeLand,,,$,94102,San Francisco,4.2,"510 Larkin St, San Francisco, CA 94102",152,Unknown,+14159268118,"Bars, Venues & Event Spaces",Unknown
Hula Hoops,https://www.myhulahoops.com,"reservations@myhulahoops.com [INFERRED], hello@myhulahoops.com [INFERRED], contact@myhulahoops.com [INFERRED], support@myhulahoops.com [INFERRED], info@myhulahoops.com [INFERRED]",$$,94080,South San Francisco,4.2,"2278 Westborough Blvd, Ste 203, South San Francisco, CA 94080",1772,Unknown,+16509523255,"Tiki Bars, Asian Fusion, Venues & Event Spaces",Unknown
Hazie's,https://www.haziessf.com,info@haziessf.com,$$,94102,San Francisco,4.2,"501 Hayes St, San Francisco, CA 94102",272,Unknown,+14156785156,"Cocktail Bars, New American, Breakfast & Brunch",Unknown
7 Mile House,http://7milehouse.com/,"vanessa@7milehouse.com., vanessa@7milehouse.com",$$,94005,Brisbane,4.2,"2800 Bayshore Blvd, Brisbane, CA 94005",2023,Unknown,+14154672343,"Sports Bars, American, Filipino",Unknown
Sacred Taco,http://www.sacredtacosf.com,kristian@sacredtacosf.com,$$,94123,San Francisco,4.2,"1875 Union St, San Francisco, CA 94123",422,Unknown,+14156538981,"Tacos, Cocktail Bars",Unknown
Fiorella - Sunset,http://www.fiorella-sf.com,"lisa@lisanourse.com, groupdining@fiorella-sf.com, groupdining@fiorella-sf.com.",$$$,94122,San Francisco,4.2,"1240 9th Ave, San Francisco, CA 94122",422,Unknown,+14154046997,"Italian, Pizza, Cocktail Bars",Unknown
The Rabbit Hole,http://therabbithole-sf.com,info@therabbithole-sf.com,$$,94110,San Francisco,4.2,"3472 Mission St, San Francisco, CA 94110",83,Unknown,,"Cocktail Bars, Asian Fusion, Burgers",Unknown
Lobby Bar,https://www.lobbybarsf.com,"reservations@lobbybarsf.com [INFERRED], hello@lobbybarsf.com [INFERRED], contact@lobbybarsf.com [INFERRED], info@lobbybarsf.com [INFERRED], support@lobbybarsf.com [INFERRED]",$$,94114,San Francisco,4.2,"4230 18th St, San Francisco, CA 94114",49,Unknown,,Cocktail Bars,Unknown
Local Tap,http://localtapsf.com,paul@localtapsf.com,$$,94107,San Francisco,4.2,"600 3rd St, San Francisco, CA 94107",290,Unknown,+14158142257,"Sports Bars, American, Sandwiches",Unknown
Alamar Dominican Kitchen,http://alamaroakland.com,"contact@alamaroakland.com [INFERRED], reservations@alamaroakland.com [INFERRED], support@alamaroakland.com [INFERRED], info@alamaroakland.com [INFERRED], hello@alamaroakland.com [INFERRED]",$$,94612,Oakland,4.2,"100 Grand Ave, Ste 111, Oakland, CA 94612",689,Unknown,+15109077555,"Cocktail Bars, Dominican, Latin American",Unknown
Driftwood,http://driftwoodbarsf.com/,driftwoodbar.sf@gmail.com,$$,94103,San Francisco,4.1,"1225 Folsom St, San Francisco, CA 94103",121,Unknown,,"Lounges, Cocktail Bars",Unknown
Cole Valley Tavern,https://www.colevalleytavern.com,"hello@colevalleytavern.com [INFERRED], info@colevalleytavern.com [INFERRED], reservations@colevalleytavern.com [INFERRED], contact@colevalleytavern.com [INFERRED], support@colevalleytavern.com [INFERRED]",$$,94117,San Francisco,4.1,"900 Cole St, San Francisco, CA 94117",128,Unknown,+14156817678,"Cocktail Bars, Burgers, Fish & Chips",Unknown
Blackbird,https://www.blackbirdbar.com,info@blackbirdbar.com,$$,94114,San Francisco,4.1,"2124 Market St, San Francisco, CA 94114",714,Unknown,+14158725310,"Bars, Venues & Event Spaces",Unknown
Barcha,http://barcha-sf.com/,"support@barcha-sf.com [INFERRED], info@barcha-sf.com [INFERRED], contact@barcha-sf.com [INFERRED], reservations@barcha-sf.com [INFERRED], hello@barcha-sf.com [INFERRED]",$$$,94105,San Francisco,4.1,"28 Fremont St, San Francisco, CA 94105",851,Unknown,+14157570781,"Mediterranean, Tapas/Small Plates, Cocktail Bars",Unknown
Fable,http://www.fablesf.com/,contact@fablesf.com,$$,94114,San Francisco,4.1,"558 Castro St, San Francisco, CA 94114",937,Unknown,+14155902404,"New American, Wine Bars, Breakfast & Brunch",Unknown
Willkommen,http://willkommen.beer,"info@willkommen.beer [INFERRED], reservations@willkommen.beer [INFERRED], hello@willkommen.beer [INFERRED], support@willkommen.beer [INFERRED], contact@willkommen.beer [INFERRED]",$$,94114,San Francisco,4.1,"2198 Market St, San Francisco, CA 94114",277,Unknown,+14157669225,"German, Breweries, Gluten-Free",Unknown
The Tailor's Son,https://www.thetailorssonsf.com,info@thetailorssonsf.com,$$,94115,San Francisco,4.1,"2049 Fillmore St, San Francisco, CA 94115",603,Unknown,+14156737200,"Italian, Cocktail Bars, Breakfast & Brunch",Unknown
Mochica,http://www.mochicasf.com,info@mochicasf.com,$$,94107,San Francisco,4.1,"1469 18th St, San Francisco, CA 94107",855,Unknown,+14152780480,"Peruvian, Cocktail Bars, Breakfast & Brunch",Unknown
The Buena Vista,http://www.thebuenavista.com,thebuenavista@comcast.net,$$,94109,San Francisco,4.1,"2765 Hyde St, San Francisco, CA 94109",3326,Unknown,+14154745044,"Bars, Cafes, Breakfast & Brunch",Unknown
Shelby's Rooftop Lounge,http://shelbysrooftopsf.com,"info@shelbysrooftopsf.com [INFERRED], reservations@shelbysrooftopsf.com [INFERRED], contact@shelbysrooftopsf.com [INFERRED], support@shelbysrooftopsf.com [INFERRED], hello@shelbysrooftopsf.com [INFERRED]",$$$,94103,San Francisco,4.1,"250 4th St, San Francisco, CA 94103",277,Unknown,+16503025079,"Lounges, New American",Unknown
Tempest,http://www.pourguys.com/tempest-box,events@pourguys.com,$$,94103,San Francisco,4.1,"431 Natoma St, San Francisco, CA 94103",819,Unknown,+14154951863,"American, Dive Bars, Sports Bars",Unknown
The Fly Trap,http://flytrapsf.com/,"valen@flytrapsf.com, events@flytrapsf.com",$$,94107,San Francisco,4.1,"606 Folsom St, San Francisco, CA 94107",1180,Unknown,+14152430580,"Bars, New American",Unknown
Barbara Pinseria & Cocktail Bar,http://sfbarbara.com,擷ˮ꿯n@f.,$$,94133,San Francisco,4.1,"431 Columbus Ave, San Francisco, CA 94133",480,Unknown,+14154453009,"Cocktail Bars, Italian, Pizza",Unknown
Scarlet Lounge,,,$$,94118,San Francisco,4.6,"408 Clement St, San Francisco, CA 94118",64,Unknown,+14157026099,"Lounges, Cocktail Bars",Unknown
Mykonos Meze,http://www.mykonosmeze.com,"contact@mykonosmeze.com [INFERRED], hello@mykonosmeze.com [INFERRED], reservations@mykonosmeze.com [INFERRED], info@mykonosmeze.com [INFERRED], support@mykonosmeze.com [INFERRED]",$$,94010,Burlingame,4.5,"226 Lorton Ave, Burlingame, CA 94010",826,Unknown,+16502740835,"Bars, Greek, Tapas/Small Plates",Unknown
Odin Mezcaleria,http://www.odinoakland.com,info@odinoakland.com,$$$,94607,Oakland,4.5,"444 Oak St, Oakland, CA 94607",89,Unknown,+15104446436,"Mexican, Bars",Unknown
Prizefighter,http://www.prizefighterbar.com,"contact@prizefighterbar.com [INFERRED], hello@prizefighterbar.com [INFERRED], support@prizefighterbar.com [INFERRED], info@prizefighterbar.com [INFERRED], reservations@prizefighterbar.com [INFERRED]",$$,94608,Emeryville,4.3,"6702 Hollis St, Emeryville, CA 94608",566,Unknown,,Bars,Unknown
Osteria Bella,https://osteriabella.com,"info@osteriabella.com [INFERRED], hello@osteriabella.com [INFERRED], reservations@osteriabella.com [INFERRED], contact@osteriabella.com [INFERRED], support@osteriabella.com [INFERRED]",$$,94118,San Francisco,4.3,"3848 Geary Blvd, San Francisco, CA 94118",161,Unknown,+14152210305,"Italian, Cocktail Bars, Gelato",Unknown
Sláinte,https://slainteoakland.com,cheers@slainteoakland.com,$$,94607,Oakland,4.3,"131 Broadway, Oakland, CA 94607",348,Unknown,+15108232644,"Irish Pub, Breakfast & Brunch",Unknown
Rocks Den,http://www.rocksden.com,info@rocksden.com,$$,94112,San Francisco,4.3,"4753 Mission St, San Francisco, CA 94112",102,Unknown,+14157695100,"Lounges, Sports Bars",Unknown
Buena Vida Cantina,https://buenavidacantina.com,"support@buenavidacantina.com [INFERRED], reservations@buenavidacantina.com [INFERRED], hello@buenavidacantina.com [INFERRED], contact@buenavidacantina.com [INFERRED], info@buenavidacantina.com [INFERRED]",$$,94107,San Francisco,4.2,"860 Folsom St, San Francisco, CA 94107",162,Unknown,+14154506689,"Mexican, Cocktail Bars",Unknown
Burma Love,https://burmalove.co,"hello@burmalove.co [INFERRED], reservations@burmalove.co [INFERRED], contact@burmalove.co [INFERRED], support@burmalove.co [INFERRED], info@burmalove.co [INFERRED]",$$,94103,San Francisco,4.2,"8 Mint Plz, San Francisco, CA 94103",598,Unknown,+14157644965,"Burmese, Cocktail Bars, Seafood",Unknown
Good Good Culture Club,http://ggccsf.com,pr@i.b,$$$,94110,San Francisco,4.2,"3560 18th St, San Francisco, CA 94110",470,Unknown,,"New American, Cocktail Bars, Desserts",Unknown
Aziza,http://azizasf.com,generalmanager@azizasf.com,$$$,94121,San Francisco,4.2,"5800 Geary Blvd, San Francisco, CA 94121",2281,Unknown,+14156824196,"Moroccan, Wine Bars, Cocktail Bars",Unknown
Club House,,,$,94501,Alameda,4.2,"1215 Park St, Alameda, CA 94501",39,Unknown,+15105220228,Sports Bars,Unknown
Ketch Harbor Pub,https://www.ketchhmb.com,"lisa@pelagic.group, 727-0017crew@pelagic.group, crew@pelagic.group",$$,94019,Half Moon Bay,4.1,"17 Johnson Pier, Half Moon Bay, CA 94019",213,Unknown,+16507270017,"Seafood, American, Bars",Unknown
Noren Izakaya,http://norenizakaya.com,"support@norenizakaya.com [INFERRED], reservations@norenizakaya.com [INFERRED], hello@norenizakaya.com [INFERRED], info@norenizakaya.com [INFERRED], contact@norenizakaya.com [INFERRED]",$$$,94133,San Francisco,4.1,"1701 Powell St, San Francisco, CA 94133",303,Unknown,+14152919268,"Izakaya, Tapas/Small Plates, Cocktail Bars",Unknown
Mad Oak,http://www.madoakbar.com,"support@madoakbar.com [INFERRED], contact@madoakbar.com [INFERRED], hello@madoakbar.com [INFERRED], info@madoakbar.com [INFERRED], reservations@madoakbar.com [INFERRED]",$$,94607,Oakland,4.1,"135 12th St, Oakland, CA 94607",790,Unknown,+15108437416,Bars,Unknown
The Riptide,http://www.riptidesf.com,"info@riptidesf.com [INFERRED], contact@riptidesf.com [INFERRED], support@riptidesf.com [INFERRED], hello@riptidesf.com [INFERRED], reservations@riptidesf.com [INFERRED]",$,94116,San Francisco,4.1,"3639 Taraval St, San Francisco, CA 94116",337,Unknown,+14156818433,"Pubs, Music Venues",Unknown
Woods Cervecería,https://www.woodsbeer.com/cerveceria,"info@woodsbeer.com, cerveceria@woodsbeer.com",$$,94114,San Francisco,4.1,"3801 18th St, San Francisco, CA 94114",234,Unknown,+14154930305,"Breweries, Wineries, Beer Bar",Unknown
Etcetera Wine Bar,https://etceterawinebar.com,"support@etceterawinebar.com [INFERRED], info@etceterawinebar.com [INFERRED], contact@etceterawinebar.com [INFERRED], hello@etceterawinebar.com [INFERRED], reservations@etceterawinebar.com [INFERRED]",$$,94110,San Francisco,4.1,"795 Valencia St, San Francisco, CA 94110",481,Unknown,+14159265477,"Wine Bars, New American, Tapas/Small Plates",Unknown
