name,website,emails,price,zip_code,city,rating,address,review_count,dogs_allowed,phone,categories,good_for_kids
The Chicken Koop,http://www.thechickenkoop.com,,$$,90240,Downey,4.3,"10000 Paramount Blvd, Downey, CA 90240",851,Unknown,+15623020003,"Chicken Shop, Bars, Mexican",Unknown
Bar Henry,http://www.barhenry.la,,$$,90026,Los Angeles,4.3,"1228 W Sunset Blvd, Los Angeles, CA 90026",152,Unknown,+12139887208,"Cocktail Bars, Lounges",Unknown
Kalaveras,https://kalaveras.com/north-hollywood/,,$$,91601,Hollywood,4.3,"5300 Lankershim Blvd, Ste 130, Hollywood, CA 91601",793,Unknown,+18183086518,"Cocktail Bars, Latin American, Mexican",Unknown
Cascabel,http://cascabelrestaurant.com/.,"cascabelrestaurant@icloud.com, hello@cascabelrestaurant.com.",$$$,91602,Los Angeles,4.3,"10717 Riverside Dr, Los Angeles, CA 91602",1199,Unknown,+18189274210,"Cocktail Bars, Tacos, Desserts",Unknown
Enchant,https://www.enchant.la,,$$,90005,Los Angeles,4.2,"681 S Western Ave, Los Angeles, CA 90005",289,Unknown,+12135683195,"Asian Fusion, Breakfast & Brunch, Wine Bars",Unknown
Solidarity Restaurant,http://solidarityla.com,"hello@solidairtyla.com, hello@solidarity.com, hello@solidarityla.com",$$$,90401,Santa Monica,4.2,"1414 Lincoln Blvd, Santa Monica, CA 90401",945,Unknown,+13103938831,"Polish, Bars",Unknown
Sea Level Restaurant & Lounge,http://rb.shadehotel.com/dine,"redondoevents@shadehotel.com, redondosales@shadehotel.com, redondopress@shadehotel.com, redondoinfo@shadehotel.com, redondoreservations@shadehotel.com",$$,90277,Redondo Beach,4.2,"655 N Harbor Dr, Redondo Beach, CA 90277",949,Unknown,+13109218950,"New American, Lounges, Seafood",Unknown
Wolf & Crane Bar,http://wolfandcranebar.com/,info@wolfandcranebar.com,$$,90012,Los Angeles,4.2,"366 E 2nd St, Los Angeles, CA 90012",761,Unknown,+12139358249,"Whiskey Bars, Cocktail Bars, Beer Bar",Unknown
Trophy Wife Bar - Kitchen - Garden,http://www.trophywifeLa.com,anatescher@yahoo.com,$$,90027,Los Angeles,4.2,"3715 W Evans St, Los Angeles, CA 90027",254,Unknown,+13237410009,"Bars, Breakfast & Brunch, American",Unknown
The State,http://www.thestaterestaurant.com,"​info@thestaterestaurant.com, veuvenoire@thestaterestaurant.com, ​​job@thestaterestaurant.com, info@thestaterestaurant.com, babc@thestaterestaurant.com, job@thestaterestaurant.com, events@thestaterestaurant.com",$$,91016,Monrovia,4.2,"504 S Myrtle Ave, Monrovia, CA 91016",182,Unknown,+16264085137,"Whiskey Bars, Cocktail Bars, American",Unknown
The Whaler,https://whalerbeachbar.com/santa-monica-location/,"info@venicewhaler.com, info@newportbeachwhaler.com, info@santamonicawhaler.com",$$,90401,Santa Monica,4.2,"101 Broadway, Santa Monica, CA 90401",345,Unknown,+14243300166,"Breakfast & Brunch, Beer Bar, Cocktail Bars",Unknown
Finney's Crafthouse - Stevenson Ranch,https://www.finneyscrafthouse.com,,$$,91381,Stevenson Ranch,4.1,"25636 The Old Rd, Stevenson Ranch, CA 91381",274,Unknown,+16614015466,"New American, Burgers, Cocktail Bars",Unknown
Tu Madre - West Hollywood,http://tumadre.com,,$$,90046,West Hollywood,4.1,"1111 N Hayworth Ave, West Hollywood, CA 90046",1193,Unknown,+13239224826,"Mexican, Breakfast & Brunch, Cocktail Bars",Unknown
